timestamp,features_used,model,rmse,mae,mape,notes
2025-08-11,customer_count,RNN,452.4,318.6,12.67,baseline，純單變量，前7天預測下一天，SEQ_LEN=7
2025-08-11,customer_count,LSTM,462.4,306.6,11.94,baseline，純單變量，前7天預測下一天，SEQ_LEN=7
2026-08-12 00:49,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,438.9,287.6,10.82,dow用顯式7欄版本
2026-08-12 00:49,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,404.3,269.2,10.34,dow用顯式7欄版本
2026-08-12 00:52,"customer_count, dow_sin, dow_cos, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,449.2,286.7,10.84,dow用sin-cos版本
2026-08-12 00:52,"customer_count, dow_sin, dow_cos, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,418.9,280.9,10.87,dow用sin-cos版本
2026-08-12 20:14,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, payday5_day, payday5_dist, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,436.7,282.5,10.68,加入發薪日5號
2026-08-12 20:14,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, payday5_day, payday5_dist, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,418.0,290.5,11.13,加入發薪日5號
2026-08-12 20:18,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, month_1, month_2, month_3, month_4, month_5, month_6, month_7, month_8, month_9, month_10, month_11, month_12, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,440.1,289.3,11.06,加入月份(顯式12欄)，移除payday5
2026-08-12 20:18,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, month_1, month_2, month_3, month_4, month_5, month_6, month_7, month_8, month_9, month_10, month_11, month_12, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,420.6,272.5,10.4,加入月份(顯式12欄)，移除payday5
