日期,平均溫度(°C),最高溫度(°C),最低溫度(°C),平均相對溼度(%),最小相對溼度(%),降雨量(mm)
2014-01-01,17.3,23.2,12.5,64,43.0,0.0
2014-01-02,19.7,24.9,15.5,66,42.0,0.0
2014-01-03,19.1,22.9,17.2,76,53.0,0.0
2014-01-04,16.6,18.8,13.1,60,46.0,0.0
2014-01-05,15.1,19.6,11.4,56,37.0,0.0
2014-01-06,17.5,21.4,14.8,56,45.0,0.0
2014-01-07,18.6,24.7,14.4,63,31.0,0.0
2014-01-08,16.0,16.5,12.9,76,70.0,3.0
2014-01-09,12.0,13.2,11.1,80,66.0,2.5
2014-01-10,14.5,17.4,12.2,72,61.0,0.0
2014-01-11,18.5,26.1,14.4,67,39.0,0.0
2014-01-12,15.8,17.5,14.4,81,75.0,0.5
2014-01-13,14.1,16.2,12.9,83,74.0,1.5
2014-01-14,12.7,14.5,12.0,82,68.0,16.5
2014-01-15,13.8,17.1,11.1,56,43.0,0.0
2014-01-16,14.7,18.9,10.8,60,45.0,0.0
2014-01-17,16.0,21.1,13.3,58,41.0,0.0
2014-01-18,13.4,17.4,11.0,56,40.0,0.0
2014-01-19,16.0,20.9,11.3,49,34.0,0.0
2014-01-20,15.1,19.1,11.6,67,51.0,0.0
2014-01-21,12.1,14.9,9.3,51,47.0,0.0
2014-01-22,11.6,16.1,7.9,51,33.0,0.0
2014-01-23,14.8,21.5,10.0,50,29.0,0.0
2014-01-24,15.2,20.8,9.8,55,28.0,0.0
2014-01-25,16.9,25.7,10.5,55,23.0,0.0
2014-01-26,15.6,17.7,14.4,65,55.0,0.0
2014-01-27,16.7,21.7,12.2,60,42.0,0.0
2014-01-28,18.9,24.8,14.3,58,32.0,0.0
2014-01-29,18.6,23.6,15.7,67,39.0,0.0
2014-01-30,18.1,26.7,12.8,64,28.0,0.0
2014-01-31,20.6,27.2,15.8,61,37.0,0.0
2014-02-01,19.5,26.4,14.2,61,29.0,0.0
2014-02-02,20.8,25.9,16.5,61,42.0,0.0
2014-02-03,20.8,26.2,18.1,68,44.0,0.0
2014-02-04,15.2,18.4,13.6,76,69.0,4.0
2014-02-05,16.4,19.4,13.5,85,75.0,10.0
2014-02-06,17.7,21.9,15.8,86,68.0,3.0
2014-02-07,16.5,17.4,15.4,89,85.0,2.0
2014-02-08,13.5,15.5,12.3,85,75.0,21.0
2014-02-09,12.3,13.4,10.4,89,87.0,101.5
2014-02-10,8.5,10.5,7.8,84,80.0,7.0
2014-02-11,7.9,8.8,6.7,85,79.0,4.5
2014-02-12,11.2,13.1,8.6,90,87.0,10.5
2014-02-13,12.7,13.8,11.4,88,82.0,7.5
2014-02-14,11.0,11.7,10.2,87,83.0,10.5
2014-02-15,13.0,14.9,10.5,76,68.0,0.0
2014-02-16,16.8,23.2,13.9,75,45.0,0.5
2014-02-17,19.4,25.8,14.8,73,43.0,0.0
2014-02-18,16.3,22.7,11.9,83,61.0,4.0
2014-02-19,10.9,12.0,10.3,86,78.0,24.0
2014-02-20,11.3,15.8,8.8,61,40.0,0.0
2014-02-21,14.1,20.0,8.2,57,36.0,0.0
2014-02-22,17.3,23.0,13.3,65,32.0,0.0
2014-02-23,18.7,23.8,13.9,61,40.0,0.0
2014-02-24,18.2,24.8,14.4,66,38.0,0.0
2014-02-25,18.1,23.1,13.4,74,52.0,0.0
2014-02-26,19.2,23.8,17.0,73,51.0,0.0
2014-02-27,19.2,22.7,17.1,72,58.0,0.0
2014-02-28,20.4,28.6,17.4,70,39.0,0.0
2014-03-01,19.5,25.6,16.0,74,49.0,0.0
2014-03-02,14.3,18.5,12.8,84,79.0,8.5
2014-03-03,14.8,16.6,12.5,80,69.0,5.5
2014-03-04,14.8,16.0,13.9,88,81.0,12.5
2014-03-05,14.0,15.6,12.6,76,66.0,5.0
2014-03-06,13.1,13.9,12.2,86,74.0,17.5
2014-03-07,14.5,16.1,12.5,85,74.0,13.0
2014-03-08,14.0,15.4,12.3,90,88.0,18.5
2014-03-09,12.7,13.6,11.4,79,63.0,3.5
2014-03-10,14.6,16.0,12.6,66,57.0,0.0
2014-03-11,17.8,23.3,14.9,70,48.0,0.0
2014-03-12,17.0,21.6,14.8,85,64.0,16.5
2014-03-13,15.1,17.1,13.7,83,68.0,9.0
2014-03-14,14.1,18.7,10.9,55,37.0,0.0
2014-03-15,17.6,24.2,13.1,49,32.0,0.0
2014-03-16,18.0,22.8,15.8,67,50.0,0.0
2014-03-17,20.2,26.3,15.2,68,48.0,0.0
2014-03-18,22.4,27.9,17.0,68,50.0,0.0
2014-03-19,23.8,27.9,21.1,69,50.0,0.0
2014-03-20,16.8,23.0,12.7,80,62.0,1.5
2014-03-21,13.3,14.9,10.9,60,46.0,0.5
2014-03-22,16.0,19.2,13.7,57,47.0,0.0
2014-03-23,19.4,23.5,16.4,55,41.0,0.0
2014-03-24,20.5,25.5,15.9,60,42.0,0.0
2014-03-25,21.8,27.2,16.3,63,44.0,0.0
2014-03-26,23.8,28.1,19.9,66,51.0,0.0
2014-03-27,24.1,29.7,21.6,72,51.0,0.0
2014-03-28,25.0,30.5,21.7,69,47.0,0.0
2014-03-29,25.5,30.5,22.3,71,52.0,14.0
2014-03-30,22.5,25.8,20.4,59,38.0,0.0
2014-03-31,21.3,26.7,17.2,74,54.0,20.0
2014-04-01,17.0,18.8,16.4,87,79.0,14.5
2014-04-02,18.7,22.1,16.7,77,61.0,0.0
2014-04-03,18.3,20.5,17.1,84,76.0,3.0
2014-04-04,18.2,22.3,16.4,61,39.0,0.0
2014-04-05,21.1,28.0,15.8,53,26.0,0.0
2014-04-06,20.3,24.0,18.1,63,46.0,0.0
2014-04-07,18.7,19.6,17.8,87,75.0,13.5
2014-04-08,22.0,27.2,18.6,76,52.0,0.5
2014-04-09,21.6,24.8,20.2,77,64.0,0.0
2014-04-10,22.9,27.9,19.6,65,47.0,0.0
2014-04-11,24.1,29.9,19.7,63,44.0,0.0
2014-04-12,25.3,31.6,20.5,64,37.0,0.0
2014-04-13,25.1,31.8,20.0,66,45.0,0.0
2014-04-14,19.7,20.8,18.4,66,62.0,0.0
2014-04-15,22.4,28.0,18.0,61,45.0,0.0
2014-04-16,23.9,29.9,20.6,70,52.0,0.0
2014-04-17,25.1,31.4,20.2,70,42.0,0.0
2014-04-18,25.5,31.9,21.6,74,50.0,0.0
2014-04-19,25.4,30.2,22.1,76,55.0,0.0
2014-04-20,23.3,25.9,20.5,81,73.0,0.0
2014-04-21,24.0,30.7,20.4,75,55.0,0.0
2014-04-22,21.6,24.8,18.7,87,78.0,1.5
2014-04-23,20.4,22.2,18.8,78,68.0,0.0
2014-04-24,21.3,24.1,19.3,91,78.0,33.5
2014-04-25,23.2,29.4,21.0,88,64.0,11.0
2014-04-26,24.3,27.8,22.0,88,72.0,11.0
2014-04-27,24.5,28.8,22.1,81,61.0,0.0
2014-04-28,22.9,27.3,20.6,67,52.0,0.0
2014-04-29,21.6,24.4,19.8,66,56.0,0.0
2014-04-30,21.2,24.6,19.0,80,67.0,3.5
2014-05-01,20.1,21.5,18.7,96,91.0,25.5
2014-05-02,23.9,29.3,20.1,81,63.0,0.0
2014-05-03,23.2,26.1,21.5,68,49.0,0.0
2014-05-04,24.0,29.4,21.6,75,60.0,0.5
2014-05-05,18.5,23.9,15.4,89,71.0,47.0
2014-05-06,17.5,19.7,14.6,92,86.0,4.5
